Aveprice,Floor,Garden,Layout,Price,Region,Size,Year
33757元/㎡,11,恒盛小镇艺墅,2 室 2 厅 1 卫,298 万,大兴大兴周边采育镇30号,88,2013
30618元/㎡,11,中昂邑上原著,2 室 2 厅 1 卫,248 万,平谷平谷城区平谷大街,81,2016
58713元/㎡,6,万润家园,2 室 2 厅 1 卫,529 万,昌平龙泽南店北路5号,90,2004
25782元/㎡,6,碧波园,2 室 2 厅 1 卫,247.5 万,房山长阳房山区长阳路,96,2014
30371元/㎡,10,中昂邑上原著,2 室 1 厅 1 卫,246 万,平谷平谷城区平谷大街,81,2014
31779元/㎡,11,加州水郡西区,2 室 1 厅 1 卫,282 万,房山长阳昊天北大街48号,88,2014
37236元/㎡,14,首座御园(二期1号院),2 室 1 厅 1 卫,340 万,大兴黄村清泰路1号,91,2015
28172元/㎡,6,南宫雅苑(东区),2 室 2 厅 1 卫,280 万,丰台云岗康泉路,99,2012
41122元/㎡,6,前沙涧路7号院,2 室 1 厅 1 卫,355 万,海淀苏家坨前沙涧路7号,86,2012
42830元/㎡,6,昌盛园(一区),2 室 1 厅 1 卫,350 万,昌平昌平县城昌平区南环东路,81,1997
38394元/㎡,6,天韵家园,2 室 2 厅 1 卫,348 万,怀柔怀柔城区兴怀大街,90,2000
25000元/㎡,7,中昂邑上原著,2 室 2 厅 2 卫,245 万,平谷平谷城区平谷大街,98,2012
31597元/㎡,6,苏庄一里,3 室 1 厅 1 卫,285 万,房山良乡苏庄大街,90,2001
36693元/㎡,6,金台园小区,3 室 2 厅 1 卫,355 万,怀柔怀柔城区迎宾北路,96,2003
36290元/㎡,6,南宫景苑(二区),2 室 2 厅 1 卫,349 万,丰台云岗南宫迎宾路33号,96,2014
30968元/㎡,11,碧桂园(三期),2 室 1 厅 1 卫,288 万,房山长阳昊天北大街,93,2008
32716元/㎡,6,鸿顺园(西区),2 室 1 厅 1 卫,295 万,房山良乡长虹东路,90,2004
41323元/㎡,6,麓景嘉园北里,2 室 2 厅 1 卫,350 万,海淀苏家坨苏家坨北路,84,2012
37212元/㎡,17,宁馨苑,2 室 2 厅 1 卫,355 万,昌平昌平县城龙水路,95,2000
36881元/㎡,6,小康家园,3 室 2 厅 1 卫,349 万,大兴亦庄小羊坊南街,94,2003
26943元/㎡,6,鸿顺园(西区),2 室 1 厅 1 卫,251 万,房山良乡长虹东路,93,2005
42012元/㎡,16,路劲世界城,2 室 1 厅 1 卫,355 万,昌平南邵镇昌金路,84,2010
31250元/㎡,8,金融街金色漫香郡(南区),2 室 1 厅 1 卫,285 万,大兴磁各庄民顺路6号,91,2012
32057元/㎡,6,中门良实家园,2 室 1 厅 1 卫,288 万,门头沟大峪中门寺街69号,89,2003
37816元/㎡,17,馨然嘉园三区(长阳国际城三区),3 室 2 厅 1 卫,340 万,房山长阳长政南街,89,2014
25716元/㎡,16,迎宾花园,2 室 1 厅 1 卫,240 万,平谷平谷城区迎宾路,93,2000
38880元/㎡,14,首座御园(二期1号院),2 室 2 厅 1 卫,358 万,大兴黄村清泰路1号,92,2015
33583元/㎡,15,瀛海家园瑞园,2 室 1 厅 1 卫,288 万,大兴瀛海镇瀛坤路4号,85,2014
32999元/㎡,6,观音寺小区,2 室 1 厅 1 卫,286 万,大兴黄村观音寺街,86,1996
34061元/㎡,10,翠林漫步(北区),2 室 1 厅 1 卫,303 万,房山长阳翠林东街1号,89,2012
23077元/㎡,6,云秀花园公寓区,2 室 2 厅 1 卫,210 万,密云密云城区白云街,91,2012
22843元/㎡,6,丰景高苑,2 室 1 厅 1 卫,212 万,昌平南口南口半壁街,92,2004
39964元/㎡,21,长阳半岛1号院,2 室 2 厅 1 卫,355 万,房山长阳祥云街1号,88,2013
50050元/㎡,6,富东嘉园(上东上品),2 室 1 厅 1 卫,459 万,朝阳东坝福东家园路,91,2004
26115元/㎡,7,西潞园,3 室 1 厅 1 卫,249 万,房山良乡良乡西潞北大街,95,1996
28366元/㎡,6,碧波园,2 室 1 厅 1 卫,280 万,房山长阳房山区长阳路,98,2004
27223元/㎡,6,滨阳西里小区(宾阳西里北区),2 室 2 厅 1 卫,245 万,密云密云城区新东路89号,90,2005
62489元/㎡,7,红庙北里,2 室 1 厅 1 卫,355 万,朝阳红庙金台路,56,1990
31250元/㎡,8,金融街金色漫香郡(南区),2 室 1 厅 1 卫,285 万,大兴磁各庄民顺路6号,91,2015
27193元/㎡,11,首开缇香郡,3 室 2 厅 1 卫,240 万,通州台湖镇通房路,88,2016
35938元/㎡,6,大宁山庄,2 室 2 厅 1 卫,345 万,房山长阳京深路,96,2013
36282元/㎡,6,南宫景苑(一区),3 室 1 厅 1 卫,345 万,丰台云岗南宫迎宾路33号,95,2013
32469元/㎡,6,苏庄一里,2 室 1 厅 1 卫,288 万,房山良乡苏庄大街,88,2005
36083元/㎡,7,天泽苑,3 室 1 厅 1 卫,350 万,昌平昌平县城鼓楼西街,97,2000
38212元/㎡,6,枣园小区,3 室 1 厅 1 卫,358 万,大兴枣园兴华大街,93,1998
30198元/㎡,6,天泰新景家园,2 室 1 厅 1 卫,295 万,房山长阳京深路,97,2008
42819元/㎡,9,首创新悦都(二区),3 室 1 厅 1 卫,350 万,房山长阳永兴街,81,2014
36881元/㎡,6,小康家园,3 室 2 厅 1 卫,349 万,大兴亦庄小羊坊南街,94,2008
26441元/㎡,14,柏林山水,2 室 2 厅 1 卫,245 万,密云密云城区水源路,92,2006
30247元/㎡,10,中昂邑上原著,2 室 2 厅 1 卫,245 万,平谷平谷城区平谷大街,81,2015
39546元/㎡,15,馨然嘉园三区(长阳国际城三区),3 室 1 厅 1 卫,355 万,房山长阳长政南街,89,2012
27527元/㎡,6,天骄俊园(房山),2 室 2 厅 1 卫,256 万,房山长阳长阳路,93,2004
26207元/㎡,14,珠江逸景家园(南区),2 室 1 厅 1 卫,246 万,通州马驹桥景盛北一街16号,93,2010
40684元/㎡,6,西井四区,2 室 1 厅 1 卫,345 万,石景山苹果园实兴大街,84,1993
27763元/㎡,6,北潞馨家园,2 室 1 厅 1 卫,245 万,房山良乡房山区良乡良坨大街,88,2007
30812元/㎡,6,峪园小区,2 室 1 厅 1 卫,248 万,门头沟大峪新侨大街,80,1994
34712元/㎡,12,世茂维拉,3 室 1 厅 1 卫,345 万,房山长阳艺林北街22号,99,2015
25172元/㎡,6,西路南里,2 室 1 厅 1 卫,249 万,房山良乡良乡西路28号,98,2000
42114元/㎡,17,国惠村,2 室 1 厅 1 卫,342 万,昌平南邵镇景昌南街2号,81,2012
39770元/㎡,23,首开熙悦山熹园,2 室 1 厅 1 卫,345 万,"房山长阳康泽路,近京深路",86,2013
34607元/㎡,16,首开国风美仑,3 室 2 厅 1 卫,318 万,通州马驹桥兴贸二街,91,2013
38880元/㎡,14,首座御园(二期1号院),2 室 1 厅 1 卫,358 万,大兴黄村清泰路1号,92,2015
45613元/㎡,14,金地朗悦朗园,3 室 2 厅 1 卫,407 万,房山长阳阜盛东街59号院,89,2013
28977元/㎡,6,新居里小区,2 室 1 厅 1 卫,245 万,大兴观音寺团河路,84,2000
30434元/㎡,14,九洲溪雅苑(一区),2 室 1 厅 1 卫,298 万,房山长阳京良路,97,2009
41895元/㎡,14,首创紫悦台,3 室 2 厅 1 卫,398 万,房山良乡知兴西路2号,95,2017
30247元/㎡,10,中昂邑上原著,2 室 1 厅 1 卫,245 万,平谷平谷城区平谷大街,81,2015
38023元/㎡,15,馨然嘉园三区(长阳国际城三区),3 室 2 厅 1 卫,340 万,房山长阳长政南街,89,2012
26305元/㎡,6,泰和宜园,3 室 1 厅 1 卫,244 万,顺义马坡顺安北路,92,2011
35165元/㎡,16,富水良嘉园,3 室 1 厅 1 卫,320 万,房山良乡昊天大街,91,2014
29405元/㎡,6,滨阳西里小区(宾阳西里南区),2 室 2 厅 1 卫,240 万,密云密云城区东源路,81,2005
42564元/㎡,21,首开熙悦山熹园,2 室 1 厅 1 卫,354 万,"房山长阳康泽路,近京深路",83,2014
28170元/㎡,30,天润香墅湾1号,2 室 2 厅 1 卫,240 万,平谷平谷城区平谷体育中心西路6号,85,2015
36881元/㎡,6,小康家园,3 室 2 厅 1 卫,349 万,大兴亦庄小羊坊南街,94,2001
30371元/㎡,10,中昂邑上原著,2 室 1 厅 1 卫,246 万,平谷平谷城区平谷大街,81,2008
30371元/㎡,10,中昂邑上原著,2 室 1 厅 1 卫,246 万,平谷平谷城区平谷大街,81,2013
23596元/㎡,11,恒盛小镇艺墅,2 室 2 厅 1 卫,210 万,大兴大兴周边采育镇30号,89,2013
19731元/㎡,6,康安小区,2 室 2 厅 1 卫,186 万,延庆延庆城区延康路,94,2000
12002元/㎡,6,龙庆望都佳园,2 室 1 厅 1 卫,103 万,延庆康庄西官路,85,2012
104598元/㎡,18,幸福家园二期,2 室 1 厅 1 卫,910 万,东城广渠门幸福大街,87,2005
36737元/㎡,6,南宫景苑(一区),3 室 1 厅 1 卫,349 万,丰台云岗南宫迎宾路33号,95,2014
35146元/㎡,15,瀛海家园和园,2 室 2 厅 1 卫,300 万,大兴瀛海镇瀛坤路2号,85,2014
34315元/㎡,6,北环里小区,2 室 2 厅 1 卫,310 万,昌平昌平县城西环路,90,2004
70149元/㎡,9,彩虹城(一区),2 室 1 厅 1 卫,630 万,丰台石榴庄石榴庄西街232号,89,2005
19849元/㎡,6,九洲兴达家园B区,2 室 1 厅 1 卫,160 万,房山房山城关房山南大街,80,2003
13108元/㎡,6,龙庆望都佳园,2 室 1 厅 1 卫,116 万,延庆康庄西官路,88,2012
39036元/㎡,6,绿丰家园,2 室 1 厅 1 卫,335 万,朝阳豆各庄绿丰家园东路,85,2006
19657元/㎡,6,康安小区,3 室 2 厅 1 卫,174 万,延庆延庆城区延康路,88,2002
64950元/㎡,26,融景城(东区),2 室 1 厅 1 卫,585 万,石景山鲁谷景阳东街66号,90,2011
32306元/㎡,15,瑞雪春堂,2 室 1 厅 2 卫,285 万,房山良乡良官公路,88,2010
41976元/㎡,21,万科长阳天地,2 室 1 厅 1 卫,340 万,房山长阳长悦路5号,81,2017
23864元/㎡,6,一品嘉园(东区),2 室 1 厅 1 卫,210 万,大兴磁各庄魏北路28号,88,2012
43188元/㎡,6,清源西里,2 室 1 厅 1 卫,239 万,大兴黄村清源北路,55,1993
72310元/㎡,6,永泰东里,2 室 1 厅 1 卫,428 万,海淀清河永泰中路,59,1996
50604元/㎡,6,风雅园(三区),2 室 1 厅 1 卫,482 万,昌平回龙观育知西路,95,2000
26101元/㎡,8,首开缇香郡,3 室 2 厅 1 卫,230 万,通州台湖镇通房路,88,2016
27502元/㎡,6,沿湖小区,3 室 2 厅 1 卫,265 万,密云密云城区新中街,96,2004
62416元/㎡,11,远洋一方林语苑,2 室 2 厅 1 卫,555 万,朝阳管庄双桥东路7号,88,2009
43906元/㎡,16,路劲世界城,3 室 1 厅 1 卫,398 万,昌平南邵镇昌金路,90,2010
30865元/㎡,10,中昂邑上原著,2 室 2 厅 1 卫,250 万,平谷平谷城区平谷大街,81,2013
17412元/㎡,6,府东里社区,2 室 1 厅 1 卫,148 万,房山房山城关京周路,85,1998
28954元/㎡,16,加州水郡西区,2 室 1 厅 1 卫,253 万,房山长阳昊天北大街48号,87,2009
13047元/㎡,6,京溪小区,2 室 2 厅 1 卫,108 万,密云密云周边密关路,82,2006
32695元/㎡,6,滨湖小区,3 室 2 厅 1 卫,268 万,怀柔怀柔城区滨湖南街,82,2000
34934元/㎡,6,幸福东区,3 室 2 厅 1 卫,310 万,顺义顺义城区光明北街,88,1998
40887元/㎡,18,园景西区,2 室 1 厅 1 卫,356 万,通州梨园云景东路15号,87,2004
62437元/㎡,12,万年花城玫瑰碗(万年花城三期),2 室 2 厅 1 卫,618 万,丰台玉泉营芳菲路88号,99,2008
28641元/㎡,15,碧桂园(三期),3 室 2 厅 2 卫,355 万,房山长阳昊天北大街,124,2014
24761元/㎡,6,昊天温泉家园,2 室 1 厅 1 卫,199 万,房山良乡房山区良乡昊天大街114号,80,2001
45158元/㎡,9,万科四季花城,2 室 2 厅 1 卫,429 万,顺义石门顺白路,95,2008
20280元/㎡,6,九洲兴达家园B区,2 室 1 厅 1 卫,183 万,房山房山城关房山南大街,90,2003
154604元/㎡,8,富贵园(一区),2 室 1 厅 1 卫,1350 万,东城东花市东花市大街54号,87,2004
18499元/㎡,6,城关街道管道局社区,2 室 2 厅 1 卫,152 万,房山房山城关城关南大街,82,1995
44956元/㎡,18,首创新悦都(一区),3 室 2 厅 1 卫,389 万,房山长阳京良路,86,2014
111000元/㎡,16,国瑞城(东区),3 室 1 厅 1 卫,999 万,东城崇文门国瑞东路26号,90,2006
38175元/㎡,6,珠光逸景(一号院),3 室 1 厅 1 卫,348 万,丰台长辛店太柏西路1号,91,2014
30801元/㎡,6,世纪家园(密云),2 室 2 厅 1 卫,285 万,密云密云周边新中街,92,2009
21737元/㎡,6,檀城(东区),2 室 1 厅 1 卫,180 万,密云密云城区新中街,82,2006
22378元/㎡,6,恒安小区,3 室 1 厅 1 卫,199 万,延庆延庆城区广兴街,88,1996
29892元/㎡,11,碧桂园(三期),2 室 2 厅 1 卫,275 万,房山长阳昊天北大街,92,2009
16099元/㎡,6,石河营东社区,3 室 2 厅 1 卫,145 万,延庆延庆城区东外大街,90,1995
23008元/㎡,6,融城园北区,2 室 2 厅 1 卫,196 万,怀柔怀柔城区南华大街,85,2000
115960元/㎡,12,万年花城濠景(万年花城五期),3 室 1 厅 1 卫,659 万,丰台玉泉营樊羊路15号,56,2012
25752元/㎡,15,中冶蓝城(西区),3 室 1 厅 2 卫,257 万,房山房山城关德润街11号,99,2015
37473元/㎡,6,石坊院小区,2 室 1 厅 1 卫,220 万,昌平昌平县城永安巷,58,1992
42046元/㎡,9,北街家园一区,3 室 1 厅 1 卫,370 万,昌平沙河高教园北一街,88,2009
52158元/㎡,28,住总旗胜家园(北区),2 室 1 厅 1 卫,463 万,昌平霍营建材城西路,88,2010
47778元/㎡,18,南海家园一里,2 室 2 厅 1 卫,430 万,大兴亦庄泰河一街,90,2012
20967元/㎡,6,密西花园,3 室 2 厅 2 卫,249 万,密云密云城区新北路26号,118,2006
46575元/㎡,16,珠江东都国际,3 室 2 厅 1 卫,412 万,通州潞苑潞邑西路,88,2015
83125元/㎡,16,青年汇佳园,2 室 1 厅 1 卫,665 万,朝阳朝青板块青年路,80,2007
44739元/㎡,16,金隅畅和园6号院,2 室 2 厅 1 卫,372 万,房山良乡阜盛西街,83,2017
23482元/㎡,6,金谷东园,2 室 2 厅 1 卫,213 万,平谷平谷城区新开西街,90,2004
19231元/㎡,6,檀州家园(西区),2 室 1 厅 1 卫,175 万,密云密云城区京密路,91,2004
44181元/㎡,6,首钢古城路小区(东区),2 室 1 厅 1 卫,238 万,石景山古城古城路39号,53,1980
41494元/㎡,9,诚苑南里,3 室 2 厅 1 卫,410 万,丰台新宫南苑西路,98,2000
38290元/㎡,14,中国水电北郡嘉源,2 室 1 厅 1 卫,309 万,昌平南邵镇南丰路,80,2013
26149元/㎡,14,合生世界村,2 室 2 厅 1 卫,255 万,通州马驹桥环景路18号,97,2011
36444元/㎡,6,阳光邑上,2 室 2 厅 1 卫,330 万,房山良乡良乡东路56号,90,2012
18942元/㎡,6,永安家园(房山),2 室 1 厅 1 卫,175 万,房山房山城关永安中路,92,2007
29673元/㎡,6,新居里小区,2 室 2 厅 1 卫,268 万,大兴观音寺团河路,90,2000
23914元/㎡,6,林荫家园,2 室 2 厅 1 卫,220 万,平谷平谷城区林荫南街9-16号,92,2006
24379元/㎡,6,燕化星城健德四里,2 室 2 厅 1 卫,199 万,房山阎村紫燕中路,81,1998
18000元/㎡,6,农林路小区,3 室 1 厅 1 卫,156 万,房山房山城关林横路,86,2000
27590元/㎡,6,玉竹园,2 室 1 厅 1 卫,244.5 万,房山良乡房山区良乡揽秀北大街,88,2004
28647元/㎡,6,联港嘉园A区,3 室 1 厅 1 卫,349 万,大兴生物医药基地文新南街265号,121,2014
29199元/㎡,6,东园小区,3 室 1 厅 1 卫,290 万,怀柔怀柔城区北园东街,99,1993
22978元/㎡,6,南厂住宅(西区),2 室 1 厅 1 卫,125 万,昌平南口西民路,54,1992
25556元/㎡,6,保利花园(南区),2 室 2 厅 1 卫,230 万,密云密云周边阳光街390号,90,2006
46059元/㎡,10,珠江拉维小镇,2 室 2 厅 1 卫,430 万,通州潞苑潞苑东路40号,93,2012
12084元/㎡,6,龙庆望都佳园,3 室 1 厅 1 卫,116 万,延庆康庄西官路,96,2012
32470元/㎡,10,中昂邑上原著,2 室 2 厅 1 卫,263 万,平谷平谷城区平谷大街,81,2014
46659元/㎡,10,瑞祥里西区,2 室 1 厅 1 卫,405 万,"朝阳管庄瑞祥路,近朝阳路",86,2008
35080元/㎡,15,瀛海家园瑞园,2 室 1 厅 1 卫,300 万,大兴瀛海镇瀛坤路4号,85,2014
20966元/㎡,6,九洲兴达家园B区,2 室 1 厅 1 卫,169 万,房山房山城关房山南大街,80,2003
13615元/㎡,6,龙庆望都佳园,2 室 1 厅 1 卫,113 万,延庆康庄西官路,83,2012
51108元/㎡,6,角门东里小区,2 室 1 厅 1 卫,300 万,"丰台角门角门路,近马家堡路",58,1993
74062元/㎡,6,永泰西里(南区),2 室 1 厅 1 卫,430 万,海淀清河永泰庄路,58,1996
15239元/㎡,6,世界名园(B区),2 室 2 厅 1 卫,128 万,房山窦店汇丰街4号,84,2010
17849元/㎡,6,金鑫苑小区,2 室 1 厅 1 卫,155 万,房山窦店大窦路,86,2006
19781元/㎡,9,康居(南区),3 室 2 厅 1 卫,180 万,密云密云城区鼓楼西大街,91,2008
33143元/㎡,6,南宫景苑(一区),3 室 2 厅 1 卫,290 万,丰台云岗南宫迎宾路33号,87,2012
21243元/㎡,5,九洲兴达家园B区,2 室 1 厅 1 卫,172 万,房山房山城关房山南大街,81,2006
22279元/㎡,6,行宫南区,3 室 2 厅 2 卫,220 万,密云密云城区檀西路,98,2004
17278元/㎡,6,湖南小区(北区),3 室 2 厅 1 卫,155 万,延庆延庆城区湖南东路,89,2002
21402元/㎡,6,行宫小区,3 室 1 厅 1 卫,178 万,密云密云城区行宫街,83,2006
87954元/㎡,18,华纺易城,2 室 1 厅 1 卫,779 万,朝阳朝青板块青年路29号,88,2008
75000元/㎡,26,望京西园四区,3 室 2 厅 1 卫,735 万,朝阳望京阜通西大街,98,2000
27420元/㎡,11,联港嘉园A区,2 室 2 厅 1 卫,255 万,大兴生物医药基地文新南街265号,93,2013
27841元/㎡,6,海泰家园,3 室 2 厅 1 卫,245 万,平谷平谷城区新平北路,88,2003
98705元/㎡,12,兰德华庭,2 室 1 厅 1 卫,899 万,海淀田村阜石路35号,91,2005
13903元/㎡,6,龙庆望都佳园,2 室 2 厅 1 卫,115 万,延庆康庄西官路,82,2012
18113元/㎡,6,果园西里小区,2 室 2 厅 1 卫,180 万,密云密云城区西门外大街16号,99,2000
23615元/㎡,8,恒盛波尔多小镇(北区),2 室 2 厅 1 卫,225 万,大兴大兴周边育镇街31号,95,2012
19228元/㎡,6,房山永安西里,2 室 1 厅 1 卫,105 万,房山房山城关城关南路,54,1988
33696元/㎡,6,龙祥小区,3 室 2 厅 2 卫,319 万,怀柔庙城南大街31号,94,2001
25568元/㎡,6,花园小区(密云),2 室 2 厅 1 卫,215 万,密云密云城区鼓楼东大街,84,2004
28025元/㎡,6,东关二区,3 室 2 厅 2 卫,275 万,怀柔怀柔城区开放路,98,1996
57571元/㎡,28,北京新天地(西区),2 室 1 厅 1 卫,565 万,朝阳管庄朝阳路7号,98,2008
57884元/㎡,6,芳城东里,4 室 2 厅 1 卫,558 万,丰台方庄紫芳路,96,1995
23948元/㎡,11,瑞海姆公寓,3 室 2 厅 1 卫,248 万,密云密云周边京密路,103,2005
41435元/㎡,27,保利春天里,2 室 1 厅 1 卫,350 万,大兴生物医药基地思邈路1号,84,2014
24856元/㎡,6,天泰新景家园,2 室 2 厅 1 卫,245 万,房山长阳京深路,98,2010
28171元/㎡,12,辰光嘉园,2 室 1 厅 1 卫,273 万,房山良乡房山区良乡拱辰南大街42号,96,2008
32770元/㎡,9,金科帕提欧,2 室 1 厅 1 卫,285 万,昌平小汤山北沙顺路91号,87,2012
56368元/㎡,6,劲松西社区(劲松八区),2 室 1 厅 1 卫,328 万,朝阳劲松劲松路,58,1984
19102元/㎡,9,浅山香邑,2 室 1 厅 1 卫,170 万,顺义杨镇浅香北街16号,89,2016
18979元/㎡,6,水墨林溪,2 室 2 厅 1 卫,178 万,房山窦店大窦路,93,2008
25193元/㎡,6,花园小区(密云),2 室 2 厅 1 卫,232 万,密云密云城区鼓楼东大街,92,2004
88823元/㎡,6,永泰庄路甲6号院,2 室 1 厅 1 卫,445 万,海淀清河永泰庄路甲6号,50,1988
44789元/㎡,6,南环里(东区),2 室 1 厅 1 卫,260 万,昌平昌平县城南环路,58,1989
30455元/㎡,9,天恒乐活城(南区),3 室 1 厅 1 卫,268 万,房山阎村百合路38号,88,2010
27907元/㎡,14,合生世界村,2 室 1 厅 1 卫,253 万,通州马驹桥环景路18号,90,2012
25495元/㎡,6,蚕种场小区,2 室 1 厅 1 卫,205 万,房山良乡房山区良乡拱辰北大街36号,80,1995
16825元/㎡,6,京南嘉园,2 室 1 厅 1 卫,165 万,房山窦店大窦路,98,2003
17387元/㎡,6,迎风六里(一区),2 室 1 厅 1 卫,99 万,房山燕山迎风南路,56,1987
24476元/㎡,6,行宫小区,2 室 1 厅 1 卫,140 万,密云密云城区行宫街,57,2000
20937元/㎡,5,恒盛波尔多小镇(北区),2 室 2 厅 1 卫,203 万,大兴大兴周边育镇街31号,97,2012
18314元/㎡,6,果园西里小区,2 室 2 厅 1 卫,182 万,密云密云城区西门外大街16号,99,2006
48078元/㎡,11,天伦锦城,2 室 1 厅 1 卫,439 万,丰台新发地六圈路,91,2003
18145元/㎡,6,新兴小区(西区),3 室 1 厅 1 卫,175 万,延庆延庆城区新城街,96,1996
9398元/㎡,6,兴隆南街1号院,3 室 1 厅 1 卫,88 万,延庆康庄兴隆南街1号,93,2001
45653元/㎡,28,金隅万科城,2 室 1 厅 1 卫,387 万,昌平昌平县城南环路10号,84,1990
73709元/㎡,15,馨泰园小区,2 室 2 厅 1 卫,725 万,丰台马家堡马家堡西路32号,98,2005
126677元/㎡,15,鲁艺上河村(一区),3 室 2 厅 3 卫,2890 万,海淀世纪城远大路,228,2006
75719元/㎡,6,雅宝里社区,2 室 1 厅 1 卫,435 万,朝阳朝外大街朝外西路,57,1993
43750元/㎡,6,太平家园,2 室 1 厅 1 卫,400 万,昌平天通苑太平庄中街,91,2001
36286元/㎡,6,花雨汀,2 室 1 厅 1 卫,338 万,昌平昌平县城中兴路17号,93,2010
51679元/㎡,8,金色漫香林(二期),2 室 2 厅 1 卫,465 万,大兴亦庄东渠路,90,2010
33943元/㎡,14,佳世苑北区,2 室 1 厅 1 卫,325 万,房山良乡规划十路,95,2010
24260元/㎡,16,紫贵御园(北区),3 室 1 厅 1 卫,240 万,平谷平谷周边定福东路180号,98,2014
21039元/㎡,6,永兴家园,2 室 1 厅 1 卫,190 万,房山房山城关农林路4号,90,2004
38377元/㎡,6,京科苑,2 室 2 厅 1 卫,328 万,昌平昌平县城昌盛路3号,85,2000
69838元/㎡,4,沿海赛洛城(南区),2 室 1 厅 1 卫,599 万,朝阳百子湾广渠东路33号,85,2008
20538元/㎡,6,阳洲鑫园,3 室 2 厅 2 卫,240 万,顺义杨镇中干渠路,116,2006
48660元/㎡,12,金隅畅和园6号院,3 室 1 厅 1 卫,450 万,房山良乡阜盛西街,92,2017
36399元/㎡,16,首开康乃馨城,3 室 1 厅 1 卫,325 万,大兴枣园丽园路30号,89,2010
23584元/㎡,14,万科幸福汇,3 室 2 厅 1 卫,224 万,房山窦店大窦路257号,95,2014
32483元/㎡,11,瑞雪春堂,2 室 1 厅 2 卫,285 万,房山良乡良官公路,87,2011
33164元/㎡,7,西湖新村,2 室 2 厅 1 卫,325 万,昌平北七家立汤路,98,2000
59356元/㎡,6,劲松六区,2 室 1 厅 1 卫,335 万,朝阳劲松劲松南路,56,2015
64095元/㎡,6,龙泽苑西区,2 室 1 厅 1 卫,515 万,昌平龙泽同成街,80,1999
89789元/㎡,6,梅园(海淀),3 室 1 厅 1 卫,765 万,海淀马连洼圆明园西路,85,1998
40469元/㎡,33,天通东苑一区,2 室 2 厅 1 卫,397 万,昌平天通苑太平庄东路,98,2002
19704元/㎡,11,水墨林溪,3 室 2 厅 2 卫,259 万,房山窦店大窦路,131,2013
31570元/㎡,16,加州水郡西区,1 室 1 厅 1 卫,185 万,房山长阳昊天北大街48号,58,2010
28165元/㎡,6,保利花园(南区),3 室 2 厅 2 卫,350 万,密云密云周边阳光街390号,124,2006
62281元/㎡,25,沿海赛洛城(北区),1 室 1 厅 1 卫,355 万,朝阳百子湾百子湾东里104号,57,2008
60048元/㎡,12,清缘里,3 室 2 厅 2 卫,678 万,海淀清河龙岗路12号,112,2004
39375元/㎡,12,东亚印象台湖,2 室 1 厅 1 卫,252 万,通州台湖镇台湖大街23号,64,2015
35461元/㎡,21,融科香雪兰溪,3 室 2 厅 1 卫,315 万,通州马驹桥景盛北二街3号,88,2009
50495元/㎡,5,定福庄西里1号院(北区),2 室 1 厅 1 卫,250 万,朝阳定福庄定中街,49,1978
28822元/㎡,14,加州水郡西区,3 室 2 厅 2 卫,425 万,房山长阳昊天北大街48号,147,2010
27320元/㎡,14,蓝河湾,3 室 2 厅 2 卫,353 万,密云密云周边水源路,129,2008
71730元/㎡,34,GOGO新世代,1 室 1 厅 1 卫,340 万,丰台方庄蒲方路9号,47,2005
28896元/㎡,6,北潞馨家园,2 室 1 厅 1 卫,255 万,房山良乡房山区良乡良坨大街,88,2010
119488元/㎡,15,国瑞城(中区),3 室 2 厅 2 卫,2230 万,东城崇文门国瑞东路23号,186,2006
33256元/㎡,13,尚书苑小区,3 室 2 厅 2 卫,425 万,延庆延庆城区妫水北街,127,2004
20539元/㎡,8,水墨林溪,2 室 2 厅 1 卫,190 万,房山窦店大窦路,92,2011
37541元/㎡,6,绿丰家园,2 室 2 厅 1 卫,312 万,朝阳豆各庄绿丰家园东路,83,2006
50512元/㎡,9,金色漫香林(五期),2 室 2 厅 1 卫,459 万,大兴亦庄东渠路,90,2011
99703元/㎡,6,向军北里,2 室 1 厅 1 卫,536 万,朝阳东大桥东三环北路,53,1990
28431元/㎡,9,联港嘉园A区,2 室 2 厅 1 卫,260 万,大兴生物医药基地文新南街265号,91,2012
22698元/㎡,6,迎风六里(二区),2 室 1 厅 1 卫,205 万,房山燕山迎风南路,90,2006
25370元/㎡,6,蚕种场小区,2 室 1 厅 1 卫,204 万,房山良乡房山区良乡拱辰北大街36号,80,1997
95295元/㎡,6,裕隆新村,2 室 1 厅 1 卫,810 万,海淀马连洼龙背村路,85,2013
18348元/㎡,6,千禧家园,2 室 1 厅 1 卫,169 万,房山阎村阎东路,92,2003
46307元/㎡,6,武夷花园牡丹园,2 室 1 厅 1 卫,405 万,通州武夷花园通胡大街,87,2005
23976元/㎡,11,中加荣园(北区),2 室 2 厅 1 卫,193 万,密云密云城区果园南街9号,80,2014
17641元/㎡,6,九洲兴达A区,2 室 1 厅 1 卫,163 万,房山房山城关兴房大街,92,2003
59006元/㎡,21,富力又一城(C区),2 室 2 厅 1 卫,533 万,朝阳豆各庄黄厂南里3号,90,2010
40897元/㎡,18,中国铁建国际花园(2号院),3 室 1 厅 1 卫,365 万,房山长阳长兴东街2号,89,2014
30267元/㎡,6,苏庄二里,2 室 1 厅 1 卫,248 万,房山良乡良乡苏庄东街,81,2000
29648元/㎡,6,沿湖南区,2 室 2 厅 1 卫,252 万,密云密云城区新中街19号,85,2006
